번호,모델코드,모델명,규격,단위,단가,작성자,작성일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 ,PA-EMS2162,EMS-2162,EMS-2162,EA,,이진형,06월 05일,BOX-EKARS2H,1,CASE-EMS2162,1,CONN-CHD1140-03,6,CONN-LML761-09,1,CONN-LML761-10,1,CONN-EMS2162-05,2,CONN-EMS2162-06,1,HAND-삼형 2H,2,KNOB-SH-1U(백색),1,KNOB-SH-1U(흑색),1,PADCOM-02,2,PCB-EMS2162-01,1,PCB-EMS2162-02,1,PCB-EMS2162-03,1,SUP-HEXA-45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 ,PA-EMS2291,EMS-2291,EMS-2291,EA,,이진형,06월 05일,BOX-EKARS1H,1,CASE-EMS2291,1,CONN-CHD1140-03,4,CONN-CHD1140-05,1,CONN-LML761-09,1,CONN-LML761-10,1,HAND-삼형 1H,2,KNOB-EMS2291,3,PADCOM-01,1,PADCOM-02,1,PCB-EMS2291-01,1,PCB-EMS2291-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 ,PA-EPA2123,EPA-2123,EPA-2123,EA,,이진형,06월 05일,ACR-EPA2123-01,1,BOX-EKARS3-1,1,CASE-EPA2123,1,CONN-EPA2123-01,2,CONN-EPA2123-02,1,CONN-EPA2123-03,2,CONN-EPA2123-04,2,CONN-EPA2123-05,1,CONN-EPA2123-06,2,CONN-EPA2123-07,1,CONN-EPA2123-08,1,CONN-046,1,CONN-047,1,CONN-050,1,CORD-250/7A,1,FAN-DFB122524H(A),1,FUSE-2A-02,2,FUSE-10A,2,H/S-LPP723,1,HAND-삼형 3H,2,KNOB-EPA2123-01,1,PADCOM-04,2,PCB-EPA2123-01,1,PCB-EPA2123-02,1,PCB-EPA2123-03,1,PCB-EPA2123-04,1,PCB-EPA2123-05,1,SUP-DACN4N,4,SUP-HEXA-7,2,SWI-POWER,1,TER-AC INLET,1,TRANS-EPA2123,1,,,,,,,,,,,,,,,,,,,,
15 ,PA-EPA2243,EPA-2243,EPA-2243,EA,,이진형,06월 05일,ACR-EPA2123-01,1,BOX-EKARS3-1,1,CASE-EPA2243,1,CONN-EPA2123-01,2,CONN-EPA2123-02,1,CONN-EPA2123-03,2,CONN-EPA2123-04,2,CONN-EPA2123-05,1,CONN-EPA2123-06,2,CONN-EPA2123-07,1,CONN-EPA2123-08,1,CONN-046,1,CONN-047,1,CONN-050,1,CORD-250/7A,1,FAN-DFB122524H(A),1,H/S-LPP723,1,HAND-삼형 3H,2,KNOB-EPA2123-01,1,PADCOM-04,2,PCB-EPA2243-01,1,PCB-EPA2243-02,1,PCB-EPA2243-03,1,PCB-EPA2243-04,1,PCB-EPA2243-05,1,SUP-DACN4N,4,SUP-HEXA-7,2,SWI-POWER,1,FUSE-3.15A,2,FUSE-10A,4,TER-AC INLET,1,TRANS-EPA2243,1,,,,,,,,,,,,,,,,,,,,
16 ,PA-EPA2403,EPA-2403,EPA-2403,EA,,이진형,06월 05일,CASE-EPA2403,1,HAND-삼형 3H,2,TRANS-EPA2403,1,H/S-EPA2403-04,1,PCB-EPA3173-01,1,PCB-EPA3173-02,1,PCB-EPA3173-03,1,PCB-EPA3173-04,1,PCB-EPA2403-05,1,CONN-EPA3173-01,1,CONN-EPA3173-02-1,2,CONN-EPA3173-03,1,CONN-EPA3173-04,1,CONN-EPA3173-05,1,CONN-EPA3173-06,2,CONN-EPA3173-11,1,CONN-EPA3173-12,1,CONN-EPA3173-13,1,CONN-046,1,CONN-047,1,CONN-050,1,CONN-EPA3173-08,1,CORD-250/7A,1,FAN-DFB902524M,2,ACR-EPA2123-01,1,ROCKER SWITCH,1,SWI-R45,1,SWI-R95,1,BOX-EKARS3-1,1,PADCOM-03,2,FUSE-5A-01,2,FUSE-15A,4,TER-AC INLET,1,,,,,,,,,,,,,,,,,,
17 ,PA-EPB2032,EPB-2032,EPB-2032,EA,,이진형,06월 05일,ACR-EPB2032-01,1,BOX-EKARS2H,1,CASE-EPB2032,1,CONC-472,1,CONN-LPB762-01,1,CONN-LPB762-02,1,CONN-LPB762-03,1,CONN-LPB762-04,1,CONN-LPB762-05,1,CONN-LPB762-07,1,CONN-LPB762-08,1,CORD-250/7A,1,FUSE FH-01A,2,FUSE-1A,2,FUSE-4A,2,H/S-LPB-762,1,HAND-삼형 2H,2,PADCOM-02,2,PCB-LPB762-01,1,PCB-LPB762-02,1,PCB-LPB762-03,1,PCB-LPB762-04,1,PCB-LPB-EDM999-01,1,PCB-LPB-EDM999-02,1,SWI-POWER,1,TR-2SC4467,1,TRANS-EPB2032,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 ,PA-EPC2021,EPC-2021,EPC-2021,EA,,이진형,06월 05일,BOX-EKARS1H,1,CASE-EPC2021,1,CONN-050,1,CONN-LML761-09,1,CONN-LML761-10,1,HAND-삼형 1H,2,KNOB-SH-1U(흑색),5,PADCOM-01,1,PADCOM-02,1,PCB-EPC2021-01,1,PCB-EPC2021-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 ,PA-EPD2083A,EPD-2083A,EPD-2083A,EA,,이진형,06월 05일,ACR-EPD2083-01,1,BOX-EKARS3-1,1,CASE-EPD2083,1,CONN-EPD2083-23,1,CONN-EPD2083-24,1,CONN-EPD2083-01,1,CONN-EPD2083-02,1,CONN-EPD2083-03,1,CONN-EPD2083-06,1,CONN-EPD2083-07,1,CONN-EPD2083-08,1,CONN-EPD2083-09,1,CONN-EPD2083-10,1,CONN-EPD2083-11,1,CONN-EPD2083-12,4,CONN-EPD2083-15,1,CONN-EPD2083-16,1,CONN-EPD2083-17,1,CONN-EPD2083-18,1,CONN-EPD2083-19,1,CONN-EPD2083-20,1,CONN-EPD2083-13,1,CONN-EPD2083-14,1,CORD-250/15A,1,CORD-STOPPER,1,FUSE FH-01A,2,FUSE-1A,2,FUSE-3A-02,2,HAND-삼형 3H,2,MANUAL-EPD2083,1,MUL-LPO783,5,PADCOM-04,2,PCB-EDM999-01&02 AC,1,PCB-EDM999-01&02 DC,1,PCB-EPD2083-AC OUT,1,PCB-EPD2083-BATTERY,1,PCB-EPD2083-DC24V OUT,1,PCB-EPD2083-LED,1,PCB-EPD2083-MAIN,1,PCB-EPD2083-REALY,1,SWI-POWER,1,TRANS-EPD2083,1
20 ,PA-EPF2023,EPF-2023,EPF-2023,EA,,이진형,06월 05일,BOX-EPF2023,1,CASE-EPF2023,1,FAN-DFB122524H(A),2,PAD-AUTO BLOWER,1,PCB-LAB743,1,TER-TB305B,1,TER-TB305R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 ,PA-EPG2041,EPG-2041,EPG-2041,EA,,이진형,06월 05일,BOX-EKARS1H,1,CASE-EPG2041,1,CONN-050,1,CONN-CHD1140-04,1,HAND-삼형 1H,2,PADCOM-01,1,PADCOM-02,1,PCB-EPG2041-01,1,PCB-EPG2041-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
